recid,year,amount,dept_code,cofog_level1_code,cofog_level2_code,cofog_level3_code,pog,id_or_non_id,cap_or_cur,cg_lg_or_pc,nuts_region
2004-0,2004,82144.46,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,SCOTLAND
2005-0,2005,61273.26,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,SCOTLAND
2006-0,2006,72283.30,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,SCOTLAND
2007-0,2007,71900.34,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,SCOTLAND
2008-0,2008,82048.72,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,SCOTLAND
2009-0,2009,90952.49,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,SCOTLAND
2010-0,2010,90952.49,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,SCOTLAND
2004-1,2004,44880.11,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,WALES
2005-1,2005,33477.01,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,WALES
2006-1,2006,39492.41,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,WALES
2007-1,2007,39283.17,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,WALES
2008-1,2008,44827.80,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,WALES
2009-1,2009,49692.43,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,WALES
2010-1,2010,49692.43,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,WALES
2004-2,2004,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,NORTHERN IRELAND
2005-2,2005,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,NORTHERN IRELAND
2006-2,2006,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,NORTHERN IRELAND
2007-2,2007,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,NORTHERN IRELAND
2008-2,2008,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,NORTHERN IRELAND
2009-2,2009,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,NORTHERN IRELAND
2010-2,2010,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,NORTHERN IRELAND
2004-3,2004,40382.04,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North East
2005-3,2005,30121.81,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North East
2006-3,2006,35534.32,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North East
2007-3,2007,35346.06,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North East
2008-3,2008,40334.98,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North East
2009-3,2009,44712.05,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North East
2010-3,2010,44712.05,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North East
2004-4,2004,105479.62,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North West
2005-4,2005,78679.44,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North West
2006-4,2006,92817.15,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North West
2007-4,2007,92325.40,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North West
2008-4,2008,105356.68,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North West
2009-4,2009,116789.79,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North West
2010-4,2010,116789.79,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_North West
2004-5,2004,79889.36,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_Yorkshire and The Humber
2005-5,2005,59591.13,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_Yorkshire and The Humber
2006-5,2006,70298.91,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_Yorkshire and The Humber
2007-5,2007,69926.47,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_Yorkshire and The Humber
2008-5,2008,79796.25,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_Yorkshire and The Humber
